key,value
"Anti-Black or African American",2755
"Anti-White",773
"Anti-Jewish",676
"Anti-Gay (Male)",649
"Anti-Hispanic or Latino",507
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",279
"Anti-Other Race/Ethnicity/Ancestry",277
"Anti-Asian",274
"Multiple Bias",205
"Anti-Transgender",196
"Anti-Multiple Races, Group",191
"Anti-Islamic (Muslim)",104
"Anti-Lesbian (Female)",99
"Anti-American Indian or Alaska Native",79
"Anti-Arab",69
"Anti-Other Religion",69
"Anti-Catholic",68
"Anti-Sikh",67
"Anti-Female",49
"Anti-Other Christian",48
"Anti-Mental Disability",45
"Anti-Eastern Orthodox (Russian, Greek, Other)",42
"Anti-Gender Non-Conforming",40
"Anti-Physical Disability",38
"Anti-Multiple Religions, Group",37
"Anti-Male",22
"Anti-Protestant",19
"Anti-Bisexual",16
"Anti-Buddhist",15
"Anti-Native Hawaiian or Other Pacific Islander",14
"Anti-Hindu",11
"Anti-Heterosexual",8
"Anti-Atheism/Agnosticism",7
"Anti-Mormon",6
"Anti-Jehovahs Witness",5
